"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-28-5p",1.27092434644725,6.78458899257788,2.37202997718613,0.0199658155846798,0.0447777029132139,-3.51029322612295,"hsa-miR-28-5p","miRNA"
"hsa-miR-452-3p",3.62261776303215,3.28745697961401,2.36960720394266,0.0200886605204927,0.0448355611616795,-3.34297315673942,"hsa-miR-452-3p","miRNA"
"hsa-miR-193a-3p",2.86734162459563,2.55131121484806,2.36457973154991,0.020345718894972,0.0451909717763321,-3.35310542123789,"hsa-miR-193a-3p","miRNA"
"hsa-miR-107",1.9230714193831,5.6798234265832,2.35688424892838,0.0207448525540837,0.0456386756189842,-3.43265645181088,"hsa-miR-107","miRNA"
"hsa-miR-455-3p",-1.96752752663011,7.73591558662336,-2.35863132165112,0.0206536342664877,0.0456386756189842,-3.60732699007013,"hsa-miR-455-3p","miRNA"
"hsa-miR-195-5p",2.54815207474461,4.50894954078797,2.35208946866454,0.0209970372582306,0.0459745555132822,-3.37921875871225,"hsa-miR-195-5p","miRNA"
"hsa-miR-181b-3p",3.84888992953703,3.58351265257367,2.34796525883621,0.0212161241286866,0.046235138431383,-3.38751789999443,"hsa-miR-181b-3p","miRNA"
"hsa-miR-3928-3p",-2.34949804032899,0.888541641095946,-2.34466005574963,0.021393164096449,0.0463113075229785,-3.42518705995367,"hsa-miR-3928-3p","miRNA"
"hsa-miR-3615",-2.34222585153428,2.18869191526701,-2.34357520110942,0.0214515580301242,0.0463113075229785,-3.50404429997149,"hsa-miR-3615","miRNA"
"hsa-miR-491-5p",-2.28797134712982,0.635268761942236,-2.33214683537504,0.0220753413351371,0.0474363148689922,-3.43771109091187,"hsa-miR-491-5p","miRNA"
"hsa-miR-146a-5p",2.93379562414588,7.45552454326412,2.31888415964253,0.0228193328886031,0.04880801756729,-3.55690440017096,"hsa-miR-146a-5p","miRNA"
"hsa-miR-30b-3p",-2.58657280013685,1.24328941808101,-2.30943065881973,0.0233630934626989,0.0497405286711419,-3.52924347064661,"hsa-miR-30b-3p","miRNA"
"hsa-miR-425-5p",2.44648158782309,8.74509985138305,2.30758399944299,0.0234706390699328,0.0497405286711419,-3.69054809886617,"hsa-miR-425-5p","miRNA"
