"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000269293","ZSCAN16-AS1","long_non_coding",-1.54454769748536,0.156033819803826,-3.65878146015783,0.000429761775258913,0.00629326205489205,-0.192631861756443
"ENSG00000214900","LINC01588","long_non_coding",-1.5056316906534,0.446148330134511,-3.65485803228711,0.000435507108189873,0.00632217179886291,-0.224448680813057
"ENSG00000196756","SNHG17","long_non_coding",2.57378612129253,5.03095335232806,3.61246577056148,0.000502416487265674,0.00696305389593399,-0.418339089683609
"ENSG00000250303","LINC02762","long_non_coding",-1.67282863311138,0.0685215189481886,-3.58208366435107,0.00055624573303602,0.00750797380725913,-0.425810836774239
"ENSG00000230487","PSMG3-AS1","long_non_coding",-1.40194776923457,1.27163617203776,-3.54619142344663,0.000626875458327382,0.00826174542720144,-0.628888287130295
"ENSG00000224152","AC009506.1","long_non_coding",-1.14897699609329,0.212493602768212,-3.51506623135145,0.000694914705960893,0.00891372356503588,-0.601797553705142
"ENSG00000236144","TMEM147-AS1","long_non_coding",2.21262061672882,2.90667341562065,3.47247621216569,0.000799386481450016,0.00995314540628941,-0.69396261220902
"ENSG00000245694","CRNDE","long_non_coding",4.1926186326752,1.20732862900834,3.29344660469291,0.00142293457940415,0.0153857554754458,-1.11580107607757
"ENSG00000256643","LINC02441","long_non_coding",-2.27565340811301,-0.170293878782475,-3.27165642620338,0.00152431960862543,0.0160218448700336,-1.37066043801175
"ENSG00000203709","MIR29B2CHG","long_non_coding",-1.80602933757749,0.258504298279399,-3.26298572002473,0.00156651367198829,0.0163803862258057,-1.39412750688353
"ENSG00000260461","AL133355.1","long_non_coding",-1.02696149863412,0.440378127903683,-3.25796962094157,0.00159142020510188,0.0165417710307093,-1.35667020152836
"ENSG00000248508","SRP14-AS1","long_non_coding",-1.30227183630797,0.196151174920749,-3.25736208452495,0.00159446186066343,0.0165610648278573,-1.36274891992839
"ENSG00000180525","PRR26","long_non_coding",-1.386360561982,2.14140329480381,-3.20170655328612,0.00189736809193845,0.0187058802006917,-1.71403624080678
"ENSG00000253161","LINC01605","long_non_coding",2.93237026769758,0.51396029053938,3.19207505775964,0.00195495578826754,0.019071740476325,-1.38304911649129
"ENSG00000271122","AC018647.2","long_non_coding",-1.08615243000632,2.0340801541149,-3.18373717929584,0.00200612239907601,0.019448667533027,-1.7393220425615
"ENSG00000174365","SNHG11","long_non_coding",1.62249739393279,3.36998974040649,3.11880464752054,0.0024494880957812,0.0224831463193583,-1.77668888789917
"ENSG00000273033","LINC02035","long_non_coding",-1.05761308371363,1.43530095380445,-3.08883143812602,0.00268352486110407,0.0240936660625502,-1.9339440097656
"ENSG00000234072","AC074117.1","long_non_coding",1.37428278756606,2.14607507979607,3.02694522583457,0.0032338934314872,0.027665334499618,-1.94130074846021
"ENSG00000234912","SNHG20","long_non_coding",1.53380502958047,2.05585831893058,3.00073603928868,0.00349710646151321,0.0292893149084769,-1.98702935815988
"ENSG00000272631","AC067750.1","long_non_coding",-1.23104858775498,0.0551447696756057,-2.99257046564,0.00358307726607667,0.0298482942200901,-2.05806453399031
"ENSG00000275437","AL121832.3","long_non_coding",2.46103653981705,0.77383485446223,2.95810425645617,0.00396792945061243,0.0318941164701126,-1.98266836353294
"ENSG00000272455","MRPL20-DT","long_non_coding",1.45418610400673,0.700779859003843,2.95355700963645,0.00402146232684788,0.0321589386263973,-2.02963053957527
"ENSG00000214106","PAXIP1-AS2","long_non_coding",-1.01935819680363,0.749972516853927,-2.95242701488701,0.00403486832861294,0.0322097774575558,-2.22135485121832
"ENSG00000234753","FOXP4-AS1","long_non_coding",2.2197904810733,0.605794067838599,2.9504981311854,0.00405784752000825,0.0323193442728137,-2.00431874017041
"ENSG00000261373","VPS9D1-AS1","long_non_coding",2.59398598811801,3.09351963423111,2.94024438568285,0.00418204327406402,0.032988788559387,-2.14100400899733
"ENSG00000270933","AC010719.1","long_non_coding",3.11504570648492,0.207210930661685,2.90875114150442,0.00458575296674846,0.0349497921142804,-2.09502841900233
"ENSG00000253414","AC124067.2","long_non_coding",3.26703957693025,0.678834459167273,2.89525770737987,0.00476946761017742,0.0359576160357143,-2.1278270185802
"ENSG00000265415","AC099850.3","long_non_coding",1.71339205011625,0.578000192758936,2.87298611125544,0.00508757227036005,0.0377247264421072,-2.21512920794381
"ENSG00000222041","CYTOR","long_non_coding",1.57751570266821,2.1069327339145,2.85047519239105,0.00542881116183259,0.0394136421257446,-2.37587523903901
"ENSG00000214039","LINC02418","long_non_coding",7.55538961625629,2.73625343184706,2.82418077562887,0.00585394503052712,0.0414073985197285,-2.29833245614323
"ENSG00000281398","SNHG4","long_non_coding",2.41748628606395,1.75089135419736,2.81736751855076,0.00596897477346874,0.0417977832508062,-2.37548636714439
"ENSG00000255455","AP003486.1","long_non_coding",-1.03345491788562,1.43611017691359,-2.79828086636254,0.00630233470450918,0.0432625373046882,-2.69829733254183
"ENSG00000204876","AC021218.1","long_non_coding",2.75159794508653,3.60075715853738,2.79187522623926,0.00641797736153545,0.0438645517322164,-2.54762160972984
"ENSG00000188185","LINC00265","long_non_coding",1.50155143476289,2.01220263142955,2.73656145941556,0.00750031039307267,0.0490999700989809,-2.65216358570928
"ENSG00000181577","C6orf223","long_non_coding",4.65906932036741,4.3250842987457,2.72965662382356,0.00764651747970318,0.0498934372683108,-2.60930297641298
