"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000100814","CCNB1IP1","protein_coding",1.05568667532172,5.60442343884683,10.3834612345954,1.09135572911673e-22,7.86009456606811e-22,40.2862943337174
"ENSG00000142089","IFITM3","protein_coding",1.52265545005884,8.70693318268274,10.3831008838132,1.09465561296192e-22,7.88003180928684e-22,40.2543675336578
"ENSG00000253304","TMEM200B","protein_coding",-1.69567011053803,0.827001377217049,-10.3830364495193,1.09524670858489e-22,7.88045957021612e-22,40.5787747967654
"ENSG00000051341","POLQ","protein_coding",1.4337860421159,3.33847155116103,10.3743710295784,1.17769802203862e-22,8.46959732297743e-22,40.5089836979257
"ENSG00000122188","LAX1","protein_coding",-2.0451833558249,0.290249734919397,-10.3734980822395,1.18633842113608e-22,8.52759848597429e-22,40.5303742069147
"ENSG00000164035","EMCN","protein_coding",-1.34200488262961,1.95803222960789,-10.3694757257532,1.22697214088015e-22,8.81113424037091e-22,40.3609365655986
"ENSG00000117724","CENPF","protein_coding",1.40460114788766,5.81910447376447,10.362759508595,1.29792281985008e-22,9.30711757901201e-22,40.1199224595684
"ENSG00000178695","KCTD12","protein_coding",-2.01723493688746,5.1797424825144,-10.3565875865774,1.36670988055515e-22,9.78617094183016e-22,40.0318168559189
"ENSG00000213186","TRIM59","protein_coding",1.14607500205284,3.22359844847731,10.3562044367044,1.37109757687696e-22,9.81284803692436e-22,40.3513285265482
"ENSG00000115363","EVA1A","protein_coding",3.39854400373098,2.5539032029496,10.355070613458,1.38416384928409e-22,9.90158135815097e-22,40.5066005035984
"ENSG00000163346","PBXIP1","protein_coding",-1.09800546653821,6.27251468013614,-10.3516175391556,1.42472411931549e-22,1.01819001429576e-21,39.9890848158125
"ENSG00000007264","MATK","protein_coding",-1.81159178049268,0.770077129923117,-10.3503701951976,1.43966400643603e-22,1.02837107968168e-21,40.3139951721014
"ENSG00000144857","BOC","protein_coding",-1.83579849021433,2.32742338882478,-10.3495688930888,1.44934347267017e-22,1.03478655837752e-21,40.1039849797504
"ENSG00000114790","ARHGEF26","protein_coding",-1.43160305800839,2.04754611233694,-10.3485102566566,1.46223063075799e-22,1.0434849498842e-21,40.1644415312412
"ENSG00000137699","TRIM29","protein_coding",4.05656255296095,5.51813609705136,10.3458183365802,1.49551528596524e-22,1.06672413708261e-21,40.2868775451739
"ENSG00000120889","TNFRSF10B","protein_coding",1.17869989054715,6.31504146852562,10.3443700896123,1.51373258253197e-22,1.07919886187056e-21,39.9320311377785
"ENSG00000176919","C8G","protein_coding",-1.88148881038605,0.264710340915115,-10.3429777291762,1.53145465876909e-22,1.09130869962863e-21,40.2944936564395
"ENSG00000119636","BBOF1","protein_coding",-1.09985851678084,1.09467747470483,-10.3427198792858,1.53475913637867e-22,1.09313791059129e-21,40.2643036429803
"ENSG00000143297","FCRL5","protein_coding",-2.64395455498541,0.88466758882181,-10.3405147301387,1.56331006134131e-22,1.11293860370801e-21,40.1408342168695
"ENSG00000137868","STRA6","protein_coding",4.75264353135975,2.13854469797908,10.3390971985638,1.58194131091489e-22,1.12566174317717e-21,40.4009537407417
"ENSG00000002726","AOC1","protein_coding",-1.99331143908019,7.65466983956021,-10.3341130873355,1.64921786005492e-22,1.17240801543089e-21,39.9040222485173
"ENSG00000184371","CSF1","protein_coding",-1.25616933540342,4.35475206765607,-10.3335152168262,1.6574765688775e-22,1.17771417564249e-21,39.8494607200288
"ENSG00000196507","TCEAL3","protein_coding",-1.23440445402949,2.30823087638823,-10.3280810074513,1.73445093256217e-22,1.23004936470988e-21,39.980830463268
"ENSG00000082074","FYB1","protein_coding",-1.57708303981866,2.89396934966712,-10.3245758416161,1.78597385281378e-22,1.2653778416064e-21,39.8573298392958
"ENSG00000117090","SLAMF1","protein_coding",-1.60269120491846,0.86470209728414,-10.3184735818434,1.87932414013234e-22,1.33024557808222e-21,40.0549880966766
"ENSG00000165816","VWA2","protein_coding",3.74856665630199,3.82026338465063,10.3176310432177,1.89258811498689e-22,1.33852352981877e-21,40.1527317348502
"ENSG00000104723","TUSC3","protein_coding",-1.41353502536953,2.29561605862197,-10.31761604503,1.89282506982872e-22,1.33852352981877e-21,39.8830930423888
"ENSG00000161929","SCIMP","protein_coding",-1.73299876036357,0.985916526538763,-10.314892798544,1.93634140071142e-22,1.3686434068357e-21,40.0000126382567
"ENSG00000162129","CLPB","protein_coding",1.01710561933348,4.20027523003783,10.3141426204005,1.94850251909684e-22,1.37658266625612e-21,39.8683087221958
"ENSG00000115687","PASK","protein_coding",1.04359171140598,4.10968530199829,10.3105812480779,2.00727871379444e-22,1.41608210832276e-21,39.8503112664296
"ENSG00000197888","UGT2B17","protein_coding",-5.0773305179983,2.54974473857888,-10.3055413895315,2.09347644997363e-22,1.47618972128969e-21,39.665792971877
"ENSG00000112245","PTP4A1","protein_coding",-1.07057506833774,7.60881790859434,-10.3051125288787,2.10097887105019e-22,1.48077550293419e-21,39.6363672034952
"ENSG00000130731","METTL26","protein_coding",1.23378071788221,5.90841491862635,10.3036735653847,2.12634752329469e-22,1.49723149597501e-21,39.6172637602699
"ENSG00000139112","GABARAPL1","protein_coding",-1.11822159677574,4.48900804617379,-10.3020360555232,2.1555867722387e-22,1.51709910437426e-21,39.586683133455
"ENSG00000056277","ZNF280C","protein_coding",1.241599382625,2.41513904769074,10.2985296141638,2.21954736332721e-22,1.56137309061395e-21,39.9471907531521
"ENSG00000168268","NT5DC2","protein_coding",1.431085371804,5.87092558364513,10.2928235805927,2.32768352400035e-22,1.63511493804423e-21,39.5411633700475
"ENSG00000186184","POLR1D","protein_coding",1.0345039437131,7.13526892926711,10.2925695283688,2.33261792661609e-22,1.63780496960226e-21,39.4895715673089
"ENSG00000110002","VWA5A","protein_coding",-1.68612937357776,5.11455307849648,-10.2900405317154,2.38230807859657e-22,1.67190200478022e-21,39.4766106445089
"ENSG00000161835","GRASP","protein_coding",-1.08167688948114,2.05564605497157,-10.2885403518701,2.41227914876661e-22,1.69133403703967e-21,39.7161482391134
"ENSG00000141506","PIK3R5","protein_coding",-1.51596188380144,1.99270194704136,-10.2885594550536,2.4118951553817e-22,1.69133403703967e-21,39.6782092739926
"ENSG00000109805","NCAPG","protein_coding",1.28582215878423,4.35063549030429,10.2854776606833,2.47463411921864e-22,1.73341337027688e-21,39.6357195109385
"ENSG00000160949","TONSL","protein_coding",1.27729224647045,5.16052264112868,10.2848979111578,2.48661647945711e-22,1.74098391395906e-21,39.5306597488007
"ENSG00000169442","CD52","protein_coding",-1.5727111059723,3.04742234527446,-10.2830530620794,2.52513087128588e-22,1.76711472021715e-21,39.5058773570296
"ENSG00000181634","TNFSF15","protein_coding",1.54942297066686,3.74700680368407,10.2817232299335,2.55326028841491e-22,1.78595677182095e-21,39.7129906205307
"ENSG00000141527","CARD14","protein_coding",2.15387004368801,1.79916030022594,10.2724204056423,2.75893549316618e-22,1.92618661703764e-21,39.8154124225883
"ENSG00000138028","CGREF1","protein_coding",3.44678508037479,4.18335721909831,10.2679347325728,2.86390711861888e-22,1.99853254765391e-21,39.7066126186559
"ENSG00000140416","TPM1","protein_coding",-1.31363207505717,8.22708195698923,-10.2661582625624,2.90656727295435e-22,2.02734777034021e-21,39.3410679545466
"ENSG00000105011","ASF1B","protein_coding",1.08933257870581,5.48236148268229,10.2643188870288,2.95140308348983e-22,2.05765270477358e-21,39.3133713170857
