"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000166770","ZNF667-AS1","long_non_coding",-1.97605113537271,0.194234900339871,-14.0533978918979,3.45890356342222e-37,6.88159310295894e-36,73.6969139072826
"ENSG00000255717","SNHG1","long_non_coding",1.71925943167704,5.47367501354088,13.9741892018558,7.44046087652101e-37,1.44160145244176e-35,72.7505559232546
"ENSG00000270820","AC016727.1","long_non_coding",-1.09335156252657,0.204590167736604,-13.4307903490416,1.36328664372337e-34,2.2526905945672e-33,67.7940950840794
"ENSG00000188242","PP7080","long_non_coding",-2.54340879400396,4.98845468994938,-13.3216986246037,3.84290289629678e-34,6.12467814289364e-33,66.4604251481806
"ENSG00000266036","AC016888.1","long_non_coding",-1.96769651537755,0.338040893289693,-13.205731042761,1.15202996464773e-33,1.78987297023152e-32,65.6472241567666
"ENSG00000226777","FAM30A","long_non_coding",-3.27146383214205,-0.245459110640484,-13.0584015300629,4.62087966173334e-33,6.93927845453005e-32,64.2419066164678
"ENSG00000270959","LPP-AS2","long_non_coding",-1.08733314454272,0.528899037180663,-12.8678473260154,2.75882069738688e-32,3.86861309145395e-31,62.5230913243156
"ENSG00000272462","U91328.2","long_non_coding",-1.21023732899191,1.11509728352634,-12.780447279578,6.23731783170252e-32,8.45832798732797e-31,61.6762148348668
"ENSG00000172965","MIR4435-2HG","long_non_coding",1.47567300251445,3.67730491069277,12.7657646843447,7.15171225133469e-32,9.66296071005313e-31,61.5136532863088
"ENSG00000256643","LINC02441","long_non_coding",-2.90982498524813,0.299427533295127,-12.7037615253118,1.2734158578883e-31,1.68372612360574e-30,60.9279724759388
"ENSG00000276855","AC015922.4","long_non_coding",-2.26276295051394,0.0366697425575383,-12.6919850292669,1.42068962931122e-31,1.87177437205785e-30,60.8756613856678
"ENSG00000268388","FENDRR","long_non_coding",-2.15108823751446,3.16821787600686,-12.5034862515664,8.13910025485747e-31,1.01121327726318e-29,58.8802692261375
"ENSG00000224259","LINC01133","long_non_coding",-1.92588543977087,3.47146265803253,-12.4580279299818,1.23772922729888e-30,1.51616715760528e-29,58.4541018438506
"ENSG00000245694","CRNDE","long_non_coding",4.14395716270593,1.0780313374934,12.4173585783259,1.79986128627392e-30,2.16890601505302e-29,58.4259665619499
"ENSG00000236081","ELFN1-AS1","long_non_coding",4.61903147920656,2.23563067404515,12.4071596257815,1.97688077249504e-30,2.37835444885727e-29,58.3343972993835
"ENSG00000251615","AC104825.2","long_non_coding",-1.6560866153687,0.097784507097862,-12.4054232093311,2.00870125758016e-30,2.41272042462343e-29,58.27437102936
"ENSG00000177410","ZFAS1","long_non_coding",1.6369544165093,6.80290334398163,12.1465703317192,2.14605985602854e-29,2.41525430418034e-28,55.5852254713159
"ENSG00000214900","LINC01588","long_non_coding",-1.26433013659807,1.06208346388768,-12.0521598104028,5.06155647719758e-29,5.5778728702619e-28,55.0368189029387
"ENSG00000196756","SNHG17","long_non_coding",2.00255197373865,5.35376396258911,11.9230742002851,1.62747089245548e-28,1.7230266834268e-27,53.7091717011051
"ENSG00000259342","AC025580.1","long_non_coding",-2.39968500220595,1.62708804459378,-11.6519311741859,1.85412295141213e-27,1.83980158477028e-26,51.3170602067695
"ENSG00000260401","AP002761.4","long_non_coding",-1.5501176031718,2.05828147907644,-11.6029429413206,2.86905079543073e-27,2.81622986025658e-26,50.9098622865313
"ENSG00000281376","ABALON","long_non_coding",1.70408094090133,0.0722480566188925,11.4469992516008,1.14436018573437e-26,1.08520196244113e-25,49.7926573379618
"ENSG00000272501","AL662844.4","long_non_coding",-1.25750999243689,0.138152136686585,-11.4427745400002,1.18790433705011e-26,1.12433704238549e-25,49.6909487485754
"ENSG00000224914","LINC00863","long_non_coding",-1.08463344618008,0.186736154857279,-11.3051655077648,3.99350660444371e-26,3.64032932909377e-25,48.4965177339561
"ENSG00000253161","LINC01605","long_non_coding",2.86152956754735,0.683193478393503,11.1142665851235,2.11960506688226e-25,1.83188258316786e-24,46.9170104501854
"ENSG00000234753","FOXP4-AS1","long_non_coding",2.19084679227446,0.873869940015068,11.1095798464293,2.20784596543508e-25,1.90592270819328e-24,46.8728979279983
"ENSG00000229404","LINC00858","long_non_coding",4.98536548850971,-0.897942038980225,11.0108472022625,5.20229495533862e-25,4.37122538707648e-24,46.0336335870805
"ENSG00000243479","MNX1-AS1","long_non_coding",1.85695480168704,1.78636506905706,10.964629358854,7.75919691764711e-25,6.4142117520003e-24,45.6027688371604
"ENSG00000261061","AC092718.4","long_non_coding",1.32356768200274,2.16776781405154,10.9005876967414,1.3481356896365e-24,1.09851936183574e-23,45.0141200905738
"ENSG00000167117","LINC00483","long_non_coding",-1.90154822072057,3.29292848362198,-10.8578162058893,1.94775938324657e-24,1.56815261154159e-23,44.2931791672726
"ENSG00000230316","FEZF1-AS1","long_non_coding",6.24672850111222,-0.33749463238713,10.8464382433587,2.1477652447517e-24,1.72356125921547e-23,44.6368434912624
"ENSG00000236144","TMEM147-AS1","long_non_coding",1.66082223979483,3.07154615618464,10.8195865104319,2.70441589586283e-24,2.15162922214057e-23,44.2848385952309
"ENSG00000262001","DLGAP1-AS2","long_non_coding",2.10309907982946,2.97653551181256,10.8175168265125,2.75284818729059e-24,2.18898690085951e-23,44.2984280948531
"ENSG00000228109","MELTF-AS1","long_non_coding",1.72073546569977,0.938574397421602,10.7194419226398,6.36985010225983e-24,4.96131992725671e-23,43.5496619438673
"ENSG00000230487","PSMG3-AS1","long_non_coding",-1.1589808015784,1.82477696571938,-10.6735524483379,9.41820340926469e-24,7.24800679813714e-23,42.9450940692
"ENSG00000261373","VPS9D1-AS1","long_non_coding",2.41486526666467,3.2930098533892,10.6522019656241,1.12939772836824e-23,8.62369495634339e-23,42.9012028750738
"ENSG00000280206","AC026401.3","long_non_coding",1.19986922985783,2.85723351795601,10.6095547776545,1.62232548710361e-23,1.2262166430316e-22,42.4990640334286
"ENSG00000205664","BX890604.1","long_non_coding",1.4376333844664,2.8317990514618,10.5075537328266,3.84483390835072e-23,2.84655984962909e-22,41.6652280460271
"ENSG00000255774","AP000439.2","long_non_coding",-1.74597866151161,1.7517279925673,-10.4482988463752,6.33312599497861e-23,4.63324745792561e-22,41.0147068742639
"ENSG00000234456","MAGI2-AS3","long_non_coding",-1.58027975400548,1.60182686288185,-10.4188735191653,8.10934897218548e-23,5.89488820332189e-22,40.790817150225
"ENSG00000235501","AC105942.1","long_non_coding",-1.31428701149232,1.34982274153306,-10.3721621530236,1.19968346317077e-22,8.61934478483624e-22,40.4643865236129
"ENSG00000226380","AC016831.1","long_non_coding",1.94815261888849,0.962876738887805,10.2969685481169,2.24862558971696e-22,1.58107820165013e-21,40.0408158744021
"ENSG00000245910","SNHG6","long_non_coding",1.21913396973507,5.96504422747385,10.2738577157402,2.72611550301746e-22,1.90416983910107e-21,39.365254457413
"ENSG00000178977","LINC00324","long_non_coding",-1.18715529407459,1.2324905086659,-10.1969748793442,5.16355885881279e-22,3.54818124271317e-21,39.0524266252558
"ENSG00000261269","AC093278.2","long_non_coding",-1.19093076800989,0.356584211719759,-10.1949096102568,5.25271623991312e-22,3.60610283038408e-21,39.1057962318378
"ENSG00000265415","AC099850.3","long_non_coding",1.32272201591398,1.16225918439058,10.1079400459559,1.07808837749958e-21,7.2174462200988e-21,38.4671298070574
"ENSG00000259291","ZNF710-AS1","long_non_coding",-1.15509722650524,2.15566938919278,-10.1055224481712,1.09979598476792e-21,7.35612639270313e-21,38.187747252482
"ENSG00000272455","AL391244.3","long_non_coding",1.21388403499212,1.18109469893929,10.0222919870444,2.18079397466886e-21,1.43469721671291e-20,37.7683702183851
"ENSG00000281398","SNHG4","long_non_coding",1.68903612614311,2.22423296873243,10.0088129691369,2.43569573595675e-21,1.59672190174042e-20,37.6193758082871
"ENSG00000259485","LINC02253","long_non_coding",4.72852755028082,-0.666824488920379,9.93971966936284,4.28647015973161e-21,2.7623504655453e-20,37.1596578813454
"ENSG00000253414","AC124067.2","long_non_coding",3.03826233570054,0.822710702690412,9.93729728088794,4.37207327430304e-21,2.81629161545935e-20,37.1375592110109
"ENSG00000267194","AC002546.1","long_non_coding",-1.30293381505792,3.08154758475043,-9.86464833762153,7.90028887532889e-21,4.97231769469744e-20,36.1038662060991
