"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000262585","LINC01979","long_non_coding",3.19451514005483,-0.197695721723572,4.39402791513381,3.66113137707896e-05,0.000313949915683053,2.10683671566346
"ENSG00000253414","AC124067.2","long_non_coding",3.15482893045222,0.567112911594426,4.37985454169543,3.85510089734424e-05,0.00032855758811986,2.0586383285636
"ENSG00000243479","MNX1-AS1","long_non_coding",2.0308700818908,1.25861461195109,4.31955007977035,4.7975349430859e-05,0.000394145974739408,1.8380762845067
"ENSG00000247774","PCED1B-AS1","long_non_coding",-1.50254036808137,0.321095817337829,-4.27153269382858,5.70380435223363e-05,0.000453857063702618,1.55685656885428
"ENSG00000262188","LINC01978","long_non_coding",3.49495415221771,0.231478908258316,4.26613090776499,5.81555515516562e-05,0.000461956348676177,1.68266564164154
"ENSG00000245694","CRNDE","long_non_coding",3.08210833323025,0.562093548824908,4.24546390006892,6.26296117173156e-05,0.000490769165845714,1.61444308542999
"ENSG00000214039","LINC02418","long_non_coding",6.61125300564107,2.52903156155155,4.17380028931809,8.08648847055014e-05,0.000607644344337558,1.37759660551964
"ENSG00000260401","AP002761.4","long_non_coding",-1.31825723031234,1.39580274606794,-4.09487045298413,0.000106863921694893,0.000764849069448075,0.866617329083483
"ENSG00000227619","AL391056.1","long_non_coding",2.93961570409037,0.569722503623566,4.08528033945832,0.000110524113981112,0.000783926517778323,1.09568909954362
"ENSG00000250303","LINC02762","long_non_coding",-1.32906317127678,0.0703675375464261,-4.06340084388957,0.00011933182923011,0.000834902622113484,0.893158927654828
"ENSG00000235501","AC105942.1","long_non_coding",-1.22433597433901,0.793174465041204,-4.05782146083618,0.000121683670725208,0.000849221362828359,0.817018056007827
"ENSG00000214900","LINC01588","long_non_coding",-1.18935567402328,0.611650771850798,-4.04707487244855,0.000126339848081112,0.000877752720759332,0.801824025783634
"ENSG00000264575","LINC00526","long_non_coding",-1.18772972238045,0.960370402319421,-4.03976951228191,0.00012960235529444,0.000894166249896013,0.748150127750598
"ENSG00000280734","LINC01232","long_non_coding",1.54070780040421,1.55021765910028,4.03713632588065,0.000130798053048326,0.000901074848860407,0.869993511902818
"ENSG00000226696","LENG8-AS1","long_non_coding",1.35799785236225,0.605372213776492,4.02511965256584,0.000136390615634863,0.00093221477782079,0.876338155314473
"ENSG00000272455","MRPL20-DT","long_non_coding",1.47836477795192,0.563919851622081,4.02384894251174,0.000136995264908836,0.00093588759313212,0.880700864551066
"ENSG00000261534","AL596244.1","long_non_coding",-1.26395913308742,0.0911940577006057,-4.02190976534965,0.000137922962828799,0.000940377691169495,0.761255390856724
"ENSG00000236081","ELFN1-AS1","long_non_coding",4.09625853025552,1.67880606840816,3.98203617903336,0.000158391909106255,0.00105410194438225,0.765384931266749
