"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-let-7c-5p",-2.93525797445962,8.7161255857385,-3.17992666781744,0.00216172987911905,0.00450113618665884,-1.90372106615861,"hsa-let-7c-5p","miRNA"
"hsa-miR-381-3p",1.87946986708355,5.34379598013832,3.15758081047649,0.0023126487483831,0.00479349013301225,-1.7423994427941,"hsa-miR-381-3p","miRNA"
"hsa-miR-2110",-2.22610065527762,0.514897567203943,-3.15081057777299,0.00236028241299067,0.00487008497884047,-1.71101820317089,"hsa-miR-2110","miRNA"
"hsa-miR-10a-3p",2.85884900750323,2.52875163368385,3.14751287589227,0.00238381479643197,0.00489648444672513,-1.67309569344103,"hsa-miR-10a-3p","miRNA"
"hsa-miR-23a-3p",1.30938155742036,11.6119094626335,3.14591794370256,0.00239527470098366,0.0048979608235361,-1.98214344661257,"hsa-miR-23a-3p","miRNA"
"hsa-miR-874-3p",-2.37955528642796,3.72262932992731,-3.14332482492903,0.00241401669323256,0.00491424826836629,-1.93283587921727,"hsa-miR-874-3p","miRNA"
"hsa-miR-191-3p",-2.142269557878,2.21823102849551,-3.10028931193645,0.00274575809529355,0.00556473640646159,-1.93939694027101,"hsa-miR-191-3p","miRNA"
"hsa-miR-508-3p",4.07030345595829,2.83479315847407,3.07940323089255,0.00292165176441401,0.0058950141795256,-1.85390274312391,"hsa-miR-508-3p","miRNA"
"hsa-miR-29a-3p",1.41337777835385,12.8541119905882,3.07346495986436,0.00297354508384391,0.00597328880278776,-2.19554170480635,"hsa-miR-29a-3p","miRNA"
"hsa-miR-192-3p",1.4974786638008,6.94082779517837,3.06698679698644,0.00303113445176789,0.00606226890353578,-2.11917202762425,"hsa-miR-192-3p","miRNA"
"hsa-miR-365a-3p",-1.74096035013422,4.60818678259518,-3.04770131934376,0.00320878178749705,0.00638953927990679,-2.1996606178125,"hsa-miR-365a-3p","miRNA"
"hsa-miR-365b-3p",-1.73758553263427,4.60533148612578,-3.03750895740684,0.00330653364008165,0.00655556234729231,-2.22680862044153,"hsa-miR-365b-3p","miRNA"
"hsa-miR-3913-5p",2.03993982400281,0.881467818821338,3.01560874683481,0.00352600693500354,0.0069604292742927,-2.01813921436291,"hsa-miR-3913-5p","miRNA"
"hsa-miR-24-1-5p",2.23122873098406,3.83553918008473,3.0119776085853,0.0035636780831646,0.00700447071518559,-2.04037907086386,"hsa-miR-24-1-5p","miRNA"
"hsa-miR-140-3p",-1.63602896591575,9.03675106954607,-2.99785267564274,0.00371379849577389,0.00726820649816693,-2.38676388729979,"hsa-miR-140-3p","miRNA"
"hsa-miR-503-5p",4.21422036131421,2.98307356111301,2.97689052596734,0.00394742700081012,0.00766281434456391,-2.12006644044278,"hsa-miR-503-5p","miRNA"
"hsa-miR-1-3p",5.10275626548908,5.25930107664642,2.97675000736173,0.00394903809423798,0.00766281434456391,-2.12132845171871,"hsa-miR-1-3p","miRNA"
"hsa-miR-2355-3p",1.94074102339782,1.62100548258098,2.96722866502734,0.00405963383468973,0.00784403825685812,-2.1433449038317,"hsa-miR-2355-3p","miRNA"
"hsa-miR-877-5p",-2.37914427004592,0.814917747137032,-2.95840611649964,0.00416466688407034,0.00801302995416066,-2.24527484020744,"hsa-miR-877-5p","miRNA"
"hsa-miR-654-5p",-2.13525824228939,0.386822904019535,-2.95031417299056,0.00426320863537938,0.00816816444425629,-2.22318962846763,"hsa-miR-654-5p","miRNA"
"hsa-miR-28-3p",-1.2666315122926,12.176815309186,-2.94545382553166,0.00432342958512164,0.00824888657244965,-2.54241505208303,"hsa-miR-28-3p","miRNA"
"hsa-miR-146a-5p",2.73357923183932,7.51046993913494,2.92863094485069,0.0045379984944921,0.00862219713953498,-2.44532300859888,"hsa-miR-146a-5p","miRNA"
"hsa-miR-25-3p",1.25435735682289,12.8003802541589,2.92186602563463,0.00462702499529871,0.00875486887077266,-2.59829203530623,"hsa-miR-25-3p","miRNA"
"hsa-miR-653-5p",3.179442041107,2.07757585732665,2.86941189140352,0.00537405389587652,0.0101263164318996,-2.39060110214997,"hsa-miR-653-5p","miRNA"
"hsa-miR-937-3p",-2.66465287554432,1.18970793833135,-2.85300682637286,0.00562958370063265,0.010555981374771,-2.55088548699884,"hsa-miR-937-3p","miRNA"
"hsa-miR-181a-3p",1.59460664870586,6.28212492311958,2.85182759502073,0.00564837599878099,0.010555981374771,-2.63402269462174,"hsa-miR-181a-3p","miRNA"
"hsa-miR-200c-5p",2.47489585725103,5.52621601652365,2.8456616868695,0.00574758007377199,0.0106975367903674,-2.52778564998751,"hsa-miR-200c-5p","miRNA"
"hsa-miR-382-3p",1.98238959530591,0.849726899274993,2.82640626517419,0.00606779613080447,0.0112166508671715,-2.49543123933647,"hsa-miR-382-3p","miRNA"
"hsa-miR-128-1-5p",-2.08335010305138,2.26079542746475,-2.82594373469125,0.00607568588638458,0.0112166508671715,-2.65353213349005,"hsa-miR-128-1-5p","miRNA"
"hsa-miR-491-5p",-2.15200228273372,0.370457750276051,-2.80850160395311,0.0063801830365345,0.0117313042929828,-2.57894008135299,"hsa-miR-491-5p","miRNA"
"hsa-miR-377-5p",-2.05439503476996,0.318716418458372,-2.79602074308318,0.00660660280959221,0.0120504435246962,-2.60029474706919,"hsa-miR-377-5p","miRNA"
"hsa-miR-1307-5p",4.65368671120283,8.0426243074096,2.79708055562759,0.00658709365215462,0.0120504435246962,-2.67508329501981,"hsa-miR-1307-5p","miRNA"
"hsa-miR-1301-3p",-1.69631171286729,2.24538962996187,-2.7907517313996,0.00670438482995241,0.0121800776193558,-2.7228067483229,"hsa-miR-1301-3p","miRNA"
"hsa-miR-15b-5p",-1.76602932188696,7.3418766092603,-2.78726646575076,0.00676979186358305,0.0122500995626741,-2.90081902485103,"hsa-miR-15b-5p","miRNA"
"hsa-miR-30b-3p",-1.81969767428096,1.15300248266379,-2.78420667849963,0.00682769596018802,0.0123060448926709,-2.67107992766258,"hsa-miR-30b-3p","miRNA"
"hsa-miR-200a-5p",1.64144273335841,10.5823787190094,2.77607334348232,0.00698382805357054,0.0125378960331818,-2.92876927492001,"hsa-miR-200a-5p","miRNA"
"hsa-miR-223-5p",3.00785214567654,1.77512634101959,2.77009763212987,0.00710061926852576,0.012655298052211,-2.63397539328036,"hsa-miR-223-5p","miRNA"
"hsa-let-7a-2-3p",-2.21546802694065,1.5190957315206,-2.76893398223164,0.00712356913939592,0.012655298052211,-2.75188783662932,"hsa-let-7a-2-3p","miRNA"
"hsa-miR-338-3p",2.47850913348839,8.54253664725572,2.76848301182038,0.00713248157767154,0.012655298052211,-2.91724854128087,"hsa-miR-338-3p","miRNA"
"hsa-miR-3677-3p",2.83178190571716,2.56085270108589,2.75895846144972,0.00732311566389552,0.0129431811733967,-2.66179928701567,"hsa-miR-3677-3p","miRNA"
"hsa-miR-758-5p",2.29774911310477,2.69732313475106,2.75645995476032,0.00737388997378411,0.0129826016526855,-2.66793623445642,"hsa-miR-758-5p","miRNA"
"hsa-miR-214-3p",-2.55506176191693,2.17150454334874,-2.69366017630513,0.00876078706745034,0.0153650727029129,-3.02988267753668,"hsa-miR-214-3p","miRNA"
"hsa-miR-450a-5p",2.31325126319041,2.31141670265302,2.67398906692894,0.00924183142504837,0.0161466480069811,-2.8639388826255,"hsa-miR-450a-5p","miRNA"
"hsa-miR-127-3p",-1.53348803962708,8.9651873436128,-2.65747312244446,0.00966416340191054,0.0168200706537069,-3.24519757304013,"hsa-miR-127-3p","miRNA"
"hsa-miR-3614-5p",-2.30160832078717,0.774772970458086,-2.65368990485326,0.00976334370477109,0.0169280788189187,-2.98654578755052,"hsa-miR-3614-5p","miRNA"
"hsa-miR-155-5p",1.7595214717232,7.81884398953251,2.6508635485533,0.00983804224748552,0.0169929820638386,-3.20260369096355,"hsa-miR-155-5p","miRNA"
"hsa-miR-151a-5p",1.21258882480193,6.61010016009791,2.63835218030978,0.0101749898537045,0.0175086617859972,-3.20277974053869,"hsa-miR-151a-5p","miRNA"
